BLUE_X,BLUE_Y,FPS,RED_X,RED_Y
254,232,16.1,428,208
255,233,16.1,429,210
255,233,16.1,430,211
255,232,16.1,430,213
255,232,16.1,431,214
255,232,16.1,430,215
254,233,16.1,430,215
254,233,16.1,429,216
253,233,16.1,429,217
252,233,16.1,429,217
252,234,16.1,428,218
251,234,16.1,427,217
250,234,16.1,426,217
251,232,16.1,427,214
252,231,16.1,428,214
253,231,16.1,429,214
253,231,16.1,429,215
254,231,16.1,430,216
255,232,16.1,431,220
257,233,16.1,433,223
259,232,16.1,435,225
260,232,16.1,436,226
260,232,16.1,436,227
260,231,16.1,436,227
261,231,16.1,437,227
262,231,16.3,438,226
263,232,16.3,439,224
265,232,16.3,440,222
265,232,16.3,440,220
266,231,16.3,441,219
267,232,16.3,442,217
268,231,16.3,442,215
268,231,16.3,442,213
267,230,16.3,441,211
267,230,16.3,441,209
267,229,16.3,441,208
267,229,16.3,441,208
269,228,16.3,442,209
268,229,16.3,443,211
268,229,16.3,442,214
266,229,16.3,441,216
265,230,16.1,440,217
265,230,16.1,439,220
265,232,16.1,440,222
266,232,16.1,441,223
266,233,16.1,441,224
270,234,16.1,444,225
275,235,16.1,449,226
279,234,16.1,453,227
281,234,16.1,454,227
279,234,16.1,453,228
277,234,16.1,451,228
277,234,16.1,450,228
278,233,16.1,451,228
278,233,16.1,451,228
277,234,16.1,451,229
278,233,16.1,451,228
278,233,16.1,451,228
278,233,16.8,451,228
278,233,16.8,451,229
278,232,16.8,452,229
279,232,16.8,453,230
280,231,16.8,453,230
280,230,16.8,454,230
281,230,16.8,454,230
281,228,16.8,454,230
280,227,16.8,454,230
281,224,16.8,455,230
282,222,16.8,455,230
283,222,16.8,456,230
284,222,16.8,458,230
288,224,16.8,461,229
291,225,16.8,465,227
292,224,16.8,465,226
291,224,16.8,465,224
290,225,16.8,465,222
291,225,16.8,465,222
292,224,16.8,467,220
293,224,16.8,467,218
292,224,16.8,466,216
291,224,16.8,465,215
290,224,16.8,464,214
289,224,16.8,463,213
288,224,16.8,462,214
287,225,16.8,461,214
286,225,16.8,460,213
