BLUE_Y,FPS,RED_X,RED_Y,BLUE_X
207,16.5,357,143,199
207,16.5,357,141,200
207,16.5,359,139,201
206,16.5,358,138,202
206,16.5,358,136,202
206,16.5,359,135,204
205,16.5,360,133,205
206,16.5,361,132,206
206,16.5,362,131,209
207,16.5,364,130,211
206,16.5,365,129,212
206,16.5,365,128,212
205,16.5,366,126,214
205,16.5,368,126,215
205,16.5,368,125,215
205,16.6,368,125,215
206,16.6,369,125,216
206,16.6,369,125,216
206,16.6,370,126,216
206,16.6,371,126,218
206,16.6,372,126,218
206,16.6,373,127,219
206,16.6,373,127,219
206,16.6,373,128,220
206,16.6,374,128,220
206,16.6,374,128,220
206,16.6,374,128,220
206,16.6,375,129,220
206,16.6,375,129,220
206,16.6,375,129,220
206,16.6,375,129,220
206,16.8,375,129,220
206,16.8,375,129,220
206,16.8,375,129,221
206,16.8,375,129,220
206,16.8,375,129,220
206,16.8,375,129,220
206,16.8,375,129,220
206,16.8,375,130,220
206,16.8,375,130,220
206,16.8,375,131,220
206,16.8,375,131,218
206,16.8,375,132,218
206,16.8,376,134,219
205,16.8,377,135,220
207,16.8,377,136,219
207,16.8,377,137,219
207,16.8,376,138,219
208,16.7,376,138,218
208,16.7,376,139,217
208,16.7,376,139,217
208,16.7,376,140,217
208,16.7,375,141,216
208,16.7,375,141,216
208,16.7,375,141,215
207,16.7,375,141,215
207,16.7,374,142,215
208,16.7,373,142,214
207,16.7,373,143,213
208,16.7,372,143,212
208,16.7,371,143,212
207,16.7,371,143,212
208,16.7,370,143,212
208,16.7,369,142,211
208,16.7,368,142,209
208,16.7,368,142,209
208,16.7,369,142,210
208,16.7,369,142,210
208,16.7,368,142,210
207,16.7,368,142,209
208,16.7,369,142,210
209,16.7,370,142,211
209,16.7,370,142,211
209,16.7,369,142,211
210,16.7,370,143,211
210,16.7,371,144,212
211,16.7,372,144,212
212,16.7,372,145,212
212,16.7,373,145,212
213,16.7,373,146,213
214,16.7,374,148,215
217,16.6,375,149,215
218,16.6,376,151,216
220,16.6,377,152,216
221,16.6,378,153,217
221,16.6,379,154,218
222,16.6,379,154,218
222,16.6,379,154,218
222,16.6,379,154,218
223,16.6,380,154,219
222,16.6,381,155,220
222,16.6,383,154,222
223,16.6,384,154,223
223,16.6,384,155,223
223,16.6,386,155,224
223,16.6,387,155,225
223,16.6,388,156,227
223,16.6,389,156,227
223,16.6,389,157,228
223,16.6,390,158,228
225,16.6,391,158,229
224,16.6,392,159,230
225,16.6,392,159,231
225,16.6,393,160,231
226,16.6,394,160,232
226,16.6,394,160,231
226,16.6,394,160,232
227,16.6,395,160,234
227,16.6,398,160,237
228,16.6,400,158,240
227,16.6,403,157,243
227,16.6,403,156,244
227,16.6,403,157,243
228,16.6,404,157,245
228,16.6,405,157,246
229,16.8,407,157,249
228,16.8,409,156,251
228,16.8,410,155,252
228,16.8,411,155,252
227,16.8,411,154,254
229,16.8,412,154,255
228,16.8,412,153,255
228,16.8,412,153,255
227,16.8,412,153,256
228,16.8,412,152,256
227,16.8,413,152,257
227,16.8,413,152,257
227,16.8,412,152,256
228,16.8,411,152,256
228,16.8,412,151,257
228,16.8,412,150,257
228,16.6,411,151,256
229,16.6,411,150,257
228,16.6,411,150,256
228,16.6,411,151,256
228,16.6,410,151,255
229,16.6,409,151,255
228,16.6,408,150,254
228,16.6,407,149,253
229,16.6,407,149,253
229,16.6,406,149,253
229,16.6,406,150,252
229,16.6,405,149,252
229,16.6,404,149,251
229,16.6,403,149,250
230,16.6,402,148,250
230,16.6,401,148,248
230,16.6,400,149,248
231,16.8,399,149,247
231,16.8,399,149,246
230,16.8,399,149,246
231,16.8,398,149,246
230,16.8,398,149,246
230,16.8,399,149,246
230,16.8,399,149,245
230,16.8,398,149,245
231,16.8,397,150,245
231,16.8,398,150,245
230,16.8,398,150,245
229,16.8,398,150,244
229,16.8,399,150,244
229,16.8,399,150,245
229,16.8,398,150,244
229,16.8,398,150,244
229,16.3,398,150,244
229,16.3,398,150,244
229,16.3,398,150,244
229,16.3,398,150,244
229,16.3,398,150,244
229,16.3,398,150,244
229,16.3,398,150,244
229,16.3,398,150,244
229,16.3,398,150,244
229,16.3,398,150,244
229,16.3,398,150,244
229,16.3,398,149,244
228,16.3,398,150,244
228,16.3,399,149,244
228,16.3,398,149,244
228,16.3,399,149,244
228,16.3,398,149,244
228,16.9,398,149,244
228,16.9,398,149,244
228,16.9,399,149,244
228,16.9,398,149,244
228,16.9,399,149,244
228,16.9,399,149,244
228,16.9,399,149,244
228,16.9,399,149,244
228,16.9,399,149,244
228,16.9,399,149,244
228,16.9,399,149,244
228,16.9,399,149,244
228,16.9,399,149,244
228,16.9,399,149,244
228,16.9,399,149,244
228,16.9,399,149,244
228,16.9,399,149,244
228,16.5,399,149,244
228,16.5,399,149,244
227,16.5,399,149,244
228,16.5,399,149,244
228,16.5,399,149,244
227,16.5,399,149,243
227,16.5,399,149,244
227,16.5,399,149,244
227,16.5,399,149,244
227,16.5,399,149,244
227,16.5,399,149,244
227,16.5,399,149,244
227,16.5,399,149,244
227,16.5,399,149,244
227,16.5,399,149,244
227,16.4,399,149,244
227,16.4,399,149,244
227,16.4,399,149,244
227,16.4,399,149,244
227,16.4,399,149,244
227,16.4,399,149,244
227,16.4,399,149,244
227,16.4,399,149,244
227,16.4,399,149,244
227,16.4,399,149,244
227,16.4,399,149,244
227,16.4,399,149,244
227,16.4,399,149,244
227,16.4,399,149,244
227,16.4,399,149,244
226,16.4,399,149,244
227,16.4,399,149,244
226,16.4,399,149,244
226,16.4,399,149,244
226,16.4,399,149,244
227,16.4,399,149,244
226,16.4,399,148,244
226,16.4,399,148,244
226,16.4,399,149,244
226,16.4,399,149,244
226,16.4,399,148,244
226,16.4,399,149,244
226,16.4,399,149,244
226,16.4,399,148,244
226,16.4,399,148,244
226,16.4,399,148,244
226,16.4,399,148,244
226,16.4,399,148,244
226,16.7,399,148,244
226,16.7,399,148,244
226,16.7,399,148,244
226,16.7,399,148,244
226,16.7,399,148,244
226,16.7,399,149,244
226,16.7,399,148,244
226,16.7,399,148,244
