BLUE_X,BLUE_Y,FPS,RED_X,RED_Y
193,314,16.6,370,288
195,316,16.6,372,287
198,316,16.6,374,287
198,315,16.6,374,287
198,313,16.6,373,288
199,311,16.6,374,287
199,310,16.8,374,285
199,311,16.8,375,285
201,311,16.8,376,286
204,312,16.8,379,287
207,312,16.8,383,288
208,312,16.8,384,289
209,313,16.8,385,289
209,313,16.8,385,288
210,313,16.8,385,288
211,313,16.8,387,287
213,313,16.8,389,287
216,312,16.8,391,288
218,312,16.8,395,290
222,313,16.8,399,292
226,315,16.8,403,294
230,315,16.8,407,296
232,316,16.8,409,296
234,316,16.7,411,297
235,315,16.7,412,297
236,316,16.7,414,297
239,317,16.7,416,298
240,317,16.7,418,298
240,317,16.7,418,298
239,318,16.7,417,298
239,319,16.7,417,298
239,320,16.7,417,299
238,319,16.7,416,299
237,318,16.7,415,298
236,317,16.7,413,298
235,317,16.7,413,298
234,316,16.7,412,297
233,316,16.7,412,297
233,315,16.7,411,296
231,315,16.7,410,296
229,314,16.6,407,295
225,314,16.6,403,295
223,311,16.6,401,295
221,310,16.6,399,295
219,307,16.6,397,296
217,304,16.6,395,296
215,303,16.6,393,295
215,303,16.6,393,296
215,303,16.6,393,296
215,303,16.6,393,296
215,303,16.6,393,297
215,303,16.6,393,297
215,304,16.6,393,298
215,303,16.6,393,299
215,304,16.6,393,300
215,303,16.6,393,300
215,304,16.6,393,300
215,304,16.7,393,301
215,304,16.7,393,302
214,303,16.7,392,303
213,301,16.7,390,304
212,301,16.7,389,305
211,300,16.7,388,305
210,300,16.7,387,304
209,300,16.7,385,305
208,301,16.7,384,306
208,298,16.7,383,304
207,296,16.7,382,301
205,297,16.7,380,301
204,297,16.7,379,301
204,297,16.7,379,299
205,297,16.7,380,298
205,297,16.7,379,297
204,298,16.7,378,295
203,299,16.7,377,293
202,299,16.7,377,292
202,300,16.7,376,292
202,298,16.7,374,293
200,302,16.7,372,294
197,303,16.7,371,294
197,305,16.7,371,294
199,308,16.7,373,295
201,312,16.7,375,298
202,317,16.7,376,301
203,321,16.7,377,305
205,324,16.7,378,309
204,332,16.7,379,313
207,338,16.7,382,318
211,343,16.7,385,322
213,350,16.7,388,326
215,350,16.6,390,327
216,350,16.6,391,328
217,350,16.6,392,327
217,351,16.6,393,327
218,350,16.6,394,327
218,350,16.6,394,327
218,350,16.6,395,327
219,349,16.6,396,328
221,349,16.6,398,329
221,349,16.6,399,328
221,347,16.6,399,328
221,345,16.6,399,328
221,344,16.6,399,328
221,344,16.6,399,328
221,344,16.6,399,328
221,344,16.6,400,329
