BLUE_Y,FPS,RED_X,RED_Y,BLUE_X
272,16.7,404,225,234
272,16.7,403,225,234
271,16.7,403,225,234
271,16.7,402,225,233
271,16.7,402,225,233
271,16.7,402,226,233
271,16.7,401,226,232
271,16.7,401,226,231
272,16.7,401,226,231
272,16.7,401,227,231
272,16.9,400,227,231
272,16.9,400,226,230
271,16.9,399,226,230
272,16.9,398,226,228
272,16.9,398,225,229
272,16.9,398,225,229
273,16.9,398,225,228
274,16.9,399,224,230
272,16.9,398,224,230
273,16.9,398,223,230
272,16.9,398,223,229
272,16.9,398,222,229
272,16.9,399,222,230
272,16.9,399,222,230
271,16.9,397,221,228
271,16.9,393,220,225
272,16.9,391,219,224
270,16.8,391,217,224
268,16.8,392,216,225
267,16.8,391,215,224
268,16.8,389,214,222
267,16.8,387,213,220
267,16.8,385,212,219
267,16.8,384,211,218
268,16.8,382,210,216
270,16.8,380,208,215
270,16.8,379,208,215
270,16.8,379,209,215
270,16.8,380,208,216
271,16.8,380,209,217
272,16.8,381,210,218
272,16.8,383,209,219
270,16.8,383,208,220
273,16.8,383,208,220
272,16.8,384,208,221
272,16.8,387,207,224
270,16.8,390,206,228
270,16.8,393,206,230
272,16.8,395,207,233
272,16.8,397,207,234
273,16.8,398,208,235
273,16.8,398,207,236
273,16.8,399,207,236
273,16.8,400,207,238
274,16.8,402,207,240
275,16.8,402,208,240
275,16.8,404,209,242
277,16.8,406,210,244
278,16.8,407,211,245
279,16.8,408,211,245
279,16.8,408,212,245
280,16.8,409,214,247
282,16.8,411,216,248
284,16.8,412,219,249
286,16.8,413,221,249
287,16.8,413,223,249
288,16.8,413,224,249
288,16.8,412,225,248
289,16.8,412,225,248
290,16.8,412,225,248
290,16.8,412,226,248
290,16.8,413,226,249
290,16.8,412,227,248
290,16.8,412,227,248
290,16.8,412,227,248
291,16.8,412,227,248
291,16.8,411,226,247
291,16.7,409,226,246
291,16.7,408,226,244
291,16.7,407,225,243
290,16.7,406,224,243
288,16.7,405,224,241
286,16.7,404,223,240
285,16.7,404,223,240
285,16.7,405,223,240
283,16.7,406,224,240
281,16.7,407,224,241
279,16.7,409,225,242
279,16.7,411,225,244
280,16.7,413,226,246
281,16.7,415,228,248
283,16.7,417,230,250
284,16.7,418,231,251
285,16.7,419,233,252
286,16.7,420,234,253
287,16.7,421,235,253
288,16.7,421,236,254
288,16.7,422,237,255
288,16.7,423,237,256
288,16.7,424,238,256
289,16.7,424,238,257
288,16.7,425,238,257
288,16.7,424,238,257
287,16.7,424,239,256
287,16.7,424,239,256
289,16.7,424,239,256
290,16.7,424,239,257
289,16.7,425,239,258
289,16.7,426,239,259
289,16.7,428,238,260
289,16.5,429,237,261
289,16.5,430,237,262
289,16.5,430,236,263
289,16.5,431,235,264
289,16.5,432,235,265
289,16.5,430,232,264
290,16.5,430,231,265
291,16.5,430,229,265
291,16.5,430,228,266
291,16.5,430,226,266
291,16.5,429,226,265
291,16.5,428,226,265
291,16.5,427,225,264
291,16.5,426,224,263
291,16.5,426,223,264
291,16.5,426,222,264
291,16.1,426,221,264
291,16.1,425,220,264
291,16.1,426,219,264
290,16.1,427,219,265
290,16.1,428,219,266
290,16.1,429,219,267
289,16.1,429,220,267
289,16.1,431,220,268
289,16.1,432,220,269
289,16.1,433,220,270
289,16.1,434,221,272
289,16.1,436,220,273
289,16.1,437,220,274
288,16.1,438,219,274
287,16.1,438,219,275
287,16.1,438,219,275
287,16.6,438,218,275
286,16.6,437,217,275
286,16.6,436,216,274
286,16.6,436,216,274
286,16.6,436,215,275
286,16.6,434,215,274
286,16.6,433,213,272
286,16.6,432,212,272
286,16.6,432,211,273
285,16.6,434,209,275
284,16.6,435,207,276
283,16.6,434,205,276
282,16.6,434,203,276
281,16.6,434,201,276
279,16.6,433,199,276
279,16.6,431,198,274
279,16.6,429,196,272
279,16.6,428,195,271
278,16.6,427,194,271
278,16.6,427,193,271
278,16.6,427,192,271
278,16.6,427,191,272
278,16.6,427,191,272
279,16.6,426,191,272
279,16.6,426,192,271
280,16.6,425,192,271
280,16.6,424,191,270
280,16.6,424,192,270
279,16.6,424,191,270
278,16.6,423,191,269
279,16.6,422,192,269
280,16.6,422,193,267
280,16.6,421,193,268
280,16.6,422,194,268
281,16.7,421,195,267
282,16.7,422,197,267
285,16.7,423,201,267
287,16.7,424,206,268
291,16.7,427,210,270
294,16.7,430,215,273
297,16.7,435,220,277
300,16.7,440,224,281
302,16.7,443,224,285
304,16.7,446,225,288
305,16.7,449,227,291
307,16.7,451,228,293
309,16.7,452,230,294
310,16.7,453,230,295
311,16.7,453,231,295
311,16.7,454,232,296
312,16.6,454,232,296
313,16.6,454,233,296
312,16.6,454,233,297
313,16.6,453,233,296
314,16.6,452,233,295
314,16.6,452,233,295
314,16.6,452,233,295
314,16.6,452,233,295
314,16.6,452,233,295
314,16.6,452,233,295
314,16.6,452,233,295
314,16.6,452,233,295
314,16.6,452,233,295
314,16.6,452,233,295
314,16.6,451,233,295
314,16.6,452,233,295
313,16.6,452,232,296
313,16.6,452,231,296
314,16.6,450,231,295
314,16.6,448,229,293
313,16.6,446,227,292
313,16.6,444,225,290
311,16.6,442,224,289
310,16.6,441,222,288
309,16.6,440,220,287
307,16.6,438,218,286
306,16.6,437,217,285
305,16.6,437,216,284
304,16.6,436,215,283
303,16.6,436,215,282
301,16.6,435,214,280
300,16.6,434,214,279
299,16.6,434,214,278
299,16.7,433,213,277
299,16.7,432,213,276
300,16.7,430,213,275
301,16.7,429,214,275
301,16.7,429,214,274
302,16.7,428,214,274
302,16.7,428,214,274
302,16.7,426,215,273
302,16.7,425,215,271
302,16.7,423,215,269
303,16.7,422,216,268
304,16.7,421,217,267
305,16.7,420,217,266
305,16.7,420,217,266
306,16.7,420,218,266
307,16.7,420,218,266
307,16.7,420,218,266
307,16.6,421,218,268
307,16.6,423,218,270
307,16.6,426,219,272
307,16.6,426,220,272
307,16.6,427,220,273
308,16.6,429,220,275
308,16.6,430,219,277
307,16.6,433,218,280
307,16.6,435,218,282
307,16.6,435,217,283
309,16.6,437,216,287
309,16.6,440,215,289
309,16.6,442,214,292
308,16.6,443,213,293
307,16.6,444,212,294
307,16.6,445,212,296
308,16.6,446,212,298
308,16.8,447,212,299
308,16.8,447,212,299
308,16.8,447,212,299
308,16.8,448,212,300
307,16.8,449,212,300
306,16.8,450,211,301
306,16.8,450,211,302
305,16.8,451,211,302
305,16.8,451,211,302
303,16.8,452,211,302
302,16.8,451,210,301
302,16.8,451,210,300
301,16.8,451,210,300
299,16.8,451,210,299
298,16.8,451,210,298
297,16.8,451,210,297
296,16.7,450,209,296
295,16.7,449,209,295
295,16.7,448,209,294
296,16.7,446,209,292
295,16.7,446,209,292
295,16.7,445,209,291
295,16.7,445,209,291
295,16.7,445,209,290
295,16.7,445,209,290
296,16.7,444,209,290
296,16.7,443,210,289
296,16.7,442,210,288
296,16.7,441,210,287
297,16.7,440,211,286
297,16.7,438,211,284
298,16.7,437,212,281
299,16.7,435,212,280
300,16.8,434,212,281
301,16.8,433,212,279
302,16.8,431,213,278
303,16.8,429,213,276
304,16.8,428,213,275
304,16.8,426,213,274
305,16.8,424,213,272
305,16.8,423,213,272
306,16.8,423,213,271
306,16.8,422,213,271
306,16.8,422,213,271
307,16.8,421,213,270
307,16.8,420,213,269
308,16.8,420,213,269
308,16.8,419,214,269
310,16.8,419,215,269
312,16.8,418,217,269
313,16.8,419,218,269
315,16.8,421,221,271
318,16.8,423,223,273
320,16.8,426,225,277
322,16.8,429,226,280
323,16.8,431,227,282
323,16.8,433,227,284
323,16.8,433,227,284
323,16.8,433,227,284
322,16.8,434,228,285
323,16.8,435,227,286
322,16.8,436,227,286
322,16.8,436,227,287
322,16.8,436,227,287
322,16.8,436,227,287
322,16.8,436,227,287
322,16.5,437,226,289
322,16.5,439,226,290
322,16.5,439,226,290
322,16.5,439,226,290
322,16.5,439,226,290
322,16.5,439,226,290
322,16.5,439,226,291
322,16.5,439,226,291
322,16.5,439,226,291
322,16.5,439,226,291
322,16.5,439,226,291
322,16.5,439,226,291
322,16.5,439,226,291
322,16.5,439,226,291
322,16.5,439,226,291
323,16.5,439,226,290
323,16.5,439,226,290
323,16.8,439,226,291
323,16.8,439,226,290
323,16.8,438,226,290
323,16.8,437,226,289
324,16.8,437,227,289
324,16.8,437,226,289
324,16.8,437,227,289
324,16.8,437,227,289
324,16.8,437,227,289
324,16.8,437,227,289
324,16.8,437,227,289
324,16.8,437,226,289
324,16.8,437,226,289
324,16.8,437,227,289
324,16.8,437,226,289
324,16.8,437,226,289
323,16.8,437,226,289
323,16.8,437,226,289
323,16.8,437,226,289
323,16.8,437,226,289
323,16.8,437,226,289
324,16.8,437,226,289
324,16.8,437,226,289
324,16.8,436,226,289
324,16.8,436,227,289
324,16.8,436,227,289
324,16.8,436,227,289
324,16.8,436,227,288
324,16.8,436,226,288
324,16.8,436,226,288
324,16.8,436,227,288
324,16.8,436,226,288
323,16.8,436,226,288
323,16.8,436,226,288
323,16.4,436,226,288
323,16.4,436,226,288
323,16.4,436,226,288
323,16.4,436,226,288
323,16.4,436,226,288
324,16.4,436,226,288
323,16.4,436,226,288
323,16.4,436,226,288
323,16.4,436,226,288
324,16.4,436,226,288
323,16.4,436,226,288
323,16.4,436,226,288
324,16.4,436,226,288
323,16.4,436,226,288
323,16.4,436,226,288
323,16.4,436,227,288
323,16.5,436,226,288
323,16.5,436,226,288
323,16.5,436,226,288
323,16.5,436,226,288
323,16.5,436,226,288
323,16.5,436,227,288
323,16.5,436,226,288
323,16.5,436,226,288
323,16.5,436,226,288
323,16.5,436,226,288
323,16.5,436,226,288
323,16.5,436,226,288
323,16.5,436,226,288
324,16.5,436,226,288
323,16.5,436,226,288
323,16.5,436,226,288
323,16.5,436,226,288
323,16.6,436,226,288
323,16.6,436,226,288
323,16.6,436,226,288
323,16.6,436,226,288
323,16.6,436,226,288
323,16.6,436,226,288
323,16.6,436,226,288
323,16.6,436,226,288
