92, 539, 555, 18.00, 313, 317, -4.00, 2960.00, 520.00, 0.88, -0.05
93, 539, 562, -23.00, 313, 316, -3.00, 2040.00, 400.00, -1.02, 0.03
94, 539, 558, -19.00, 313, 317, -4.00, 1280.00, 240.00, 0.10, -0.03
95, 539, 548, -9.00, 313, 316, -3.00, 920.00, 120.00, 0.25, 0.03
96, 541, 507, 34.00, 313, 299, 14.00, 1360.00, 560.00, 0.85, 0.35
97, 541, 545, -4.00, 313, 316, -3.00, 1200.00, 440.00, -0.95, -0.43
98, 545, 502, 44.00, 313, 298, 16.00, 1760.00, 640.00, 1.10, 0.40
99, 545, 556, -11.00, 313, 316, -3.00, 1320.00, 520.00, -1.37, -0.47
100, 545, 516, 30.00, 313, 299, 15.00, 2520.00, 1120.00, 1.02, 0.45
101, 545, 564, -19.00, 313, 316, -3.00, 1760.00, 1000.00, -1.23, -0.45
102, 545, 563, -18.00, 313, 318, -5.00, 1040.00, 800.00, 0.03, -0.05
103, 545, 551, -7.00, 313, 318, -5.00, 760.00, 600.00, 0.27, 0.00
104, 548, 549, -1.00, 312, 318, -6.00, -40.00, -240.00, -0.03, -0.15
105, 551, 546, 5.00, 311, 317, -5.00, 200.00, -200.00, 0.12, -0.12
106, 555, 546, 9.00, 309, 316, -7.00, 360.00, -280.00, 0.22, -0.17
107, 558, 546, 12.00, 307, 314, -7.00, 480.00, -280.00, 0.30, -0.17
108, 558, 552, 7.00, 307, 313, -5.00, 760.00, -480.00, -0.12, 0.05
109, 562, 554, 8.00, 304, 311, -7.00, 320.00, -280.00, 0.20, -0.17
110, 565, 557, 8.00, 301, 309, -8.00, 320.00, -320.00, 0.20, -0.20
111, 569, 558, 12.00, 298, 304, -6.00, 480.00, -240.00, 0.30, -0.15
112, 569, 562, 7.00, 298, 302, -4.00, 760.00, -400.00, -0.12, 0.05
113, 572, 565, 7.00, 294, 301, -7.00, 280.00, -280.00, 0.17, -0.17
114, 575, 567, 8.00, 290, 298, -8.00, 320.00, -320.00, 0.20, -0.20
115, 577, 568, 10.00, 286, 292, -6.00, 400.00, -240.00, 0.25, -0.15
116, 580, 571, 8.00, 282, 290, -8.00, 320.00, -320.00, 0.20, -0.20
117, 581, 574, 7.00, 278, 286, -8.00, 280.00, -320.00, 0.17, -0.20
118, 583, 575, 8.00, 274, 282, -8.00, 320.00, -320.00, 0.20, -0.20
119, 584, 578, 7.00, 269, 278, -9.00, 280.00, -360.00, 0.17, -0.22
120, 584, 580, 4.00, 265, 270, -5.00, 160.00, -200.00, 0.10, -0.12
