BLUE_X,BLUE_Y,FPS,RED_X,RED_Y
16.7,238,241,412,223
16.7,238,241,412,223
16.7,237,242,411,224
16.7,236,242,410,225
16.7,234,242,408,226
16.7,230,243,405,228
16.7,227,244,402,230
16.7,223,244,397,233
16.7,219,244,393,234
16.7,215,242,389,235
16.7,210,242,384,236
16.7,206,242,380,236
16.7,204,243,378,237
16.3,204,242,377,237
16.3,203,242,377,238
16.3,203,243,376,238
16.3,204,243,377,239
16.3,203,243,376,238
16.3,203,244,375,238
16.3,202,245,374,238
16.3,202,245,374,237
16.3,204,246,374,237
16.3,204,245,375,236
16.3,204,245,375,234
16.3,206,245,375,233
16.3,206,245,377,231
16.3,207,244,377,229
16.3,207,244,377,227
16.3,208,244,378,225
16.3,211,244,380,223
16.3,213,244,383,222
16.3,215,245,385,222
16.3,216,245,387,220
16.3,219,246,389,217
16.3,220,246,391,215
16.3,222,245,393,213
16.3,222,245,393,211
16.3,222,245,393,211
16.3,222,245,394,210
16.3,222,245,394,210
16.3,222,247,393,210
16.3,222,247,393,210
16.3,221,247,393,210
16.3,220,248,392,210
16.3,220,248,391,211
16.3,218,247,390,212
16.3,217,246,389,211
16.3,217,244,389,210
16.3,217,243,389,210
16.3,217,244,388,212
16.3,217,247,389,213
16.3,217,248,389,213
16.3,218,248,389,213
16.3,217,248,389,213
16.3,216,247,388,213
16.3,215,249,386,215
16.3,214,250,386,215
16.3,214,250,386,216
16.3,215,251,386,218
16.3,215,252,387,219
16.3,216,252,386,219
16.3,215,250,385,219
16.3,221,245,385,220
16.7,214,247,385,220
16.7,214,241,387,222
16.7,213,238,387,222
16.7,214,239,387,223
16.7,213,237,386,224
16.7,214,240,386,224
16.7,214,239,387,225
16.7,214,239,388,225
16.7,215,240,388,225
16.7,216,240,389,225
16.8,219,241,390,226
16.8,219,242,391,226
16.8,218,241,391,226
16.8,219,242,391,226
16.8,219,241,391,226
16.8,220,244,392,226
16.8,220,243,392,226
16.8,221,244,392,226
16.8,221,244,392,226
16.8,220,245,391,225
16.8,221,246,391,225
16.8,221,247,391,225
16.8,220,247,391,224
16.8,220,246,390,224
16.8,220,249,390,225
16.8,222,249,391,224
16.8,222,250,391,223
16.9,220,249,391,222
16.9,221,250,391,220
16.9,221,251,390,219
16.9,219,251,389,218
16.9,218,251,387,217
16.9,217,251,387,217
16.9,216,253,386,217
16.9,217,254,385,217
16.9,215,254,382,218
16.9,212,255,380,219
16.9,210,258,378,220
16.9,208,260,377,223
16.9,209,261,377,227
16.9,209,264,378,228
16.9,213,265,381,230
16.9,218,267,385,231
16.9,220,268,389,232
16.9,221,272,391,232
16.9,222,272,393,233
16.9,224,273,394,233
16.9,225,272,394,233
16.9,229,263,394,232
16.9,225,271,395,232
16.9,237,256,397,231
16.9,231,269,401,230
16.9,232,268,403,231
16.9,233,268,403,230
16.9,233,268,403,230
16.9,232,266,403,230
16.9,233,266,404,230
16.9,234,267,405,230
16.9,235,266,405,230
16.9,233,266,405,229
16.5,233,265,405,229
16.5,234,265,405,229
16.5,234,265,406,229
16.5,235,264,406,229
16.5,237,263,408,229
16.5,240,262,411,228
16.5,243,260,414,228
16.5,245,258,416,227
16.5,245,257,417,227
16.5,246,255,418,226
16.5,247,254,419,226
16.5,248,254,420,226
16.5,248,253,420,225
16.5,249,254,421,225
16.5,251,255,422,226
16.5,252,255,423,225
16.5,253,254,423,226
16.5,253,254,424,225
16.5,253,254,424,225
16.5,254,255,425,225
16.5,255,256,426,225
16.5,255,256,426,225
16.5,255,256,425,226
16.5,255,257,425,226
16.5,255,257,426,226
16.5,254,258,425,226
16.5,254,259,424,226
16.5,254,259,424,227
16.5,255,260,425,227
16.5,255,260,425,227
16.5,255,261,425,228
16.5,254,262,425,228
16.5,254,261,424,228
16.9,254,261,424,228
16.9,254,261,424,228
16.9,255,262,424,228
16.9,254,263,424,228
16.9,252,264,423,228
16.9,251,265,421,228
16.9,249,267,418,227
16.9,248,269,418,228
16.9,249,270,418,229
16.9,249,272,419,229
16.9,250,273,419,230
16.9,251,275,420,230
16.9,253,276,421,230
16.9,254,276,423,230
16.9,257,276,425,230
16.9,259,277,427,230
16.9,259,276,427,230
16.8,259,276,427,229
16.8,259,276,427,229
16.8,258,275,427,229
16.8,258,275,427,228
16.8,258,275,427,228
16.8,258,274,427,228
16.8,257,274,427,228
16.8,257,274,427,229
16.8,258,274,427,229
16.8,258,273,427,229
16.8,257,272,426,229
16.8,255,272,425,228
16.8,254,273,423,229
16.8,252,273,421,229
16.8,249,273,419,229
16.8,248,273,418,229
16.8,247,272,417,230
16.8,247,271,417,229
16.8,247,269,418,228
16.8,247,268,418,228
16.8,246,267,417,228
16.8,245,267,416,228
16.8,246,267,416,227
16.8,247,266,417,227
16.8,247,266,417,227
16.8,247,266,418,227
16.8,248,265,418,227
16.8,248,266,418,227
16.8,248,266,418,226
16.8,248,267,418,226
16.8,250,268,420,226
16.8,250,268,419,226
16.8,249,268,418,225
16.7,249,269,418,226
16.7,248,269,416,225
16.7,246,269,414,226
16.7,243,268,412,226
16.7,242,267,410,226
16.7,240,267,408,227
16.7,238,267,406,227
16.7,236,267,405,227
16.7,236,267,405,225
16.7,236,267,404,224
16.7,234,267,402,223
16.7,232,266,400,222
16.7,230,265,398,221
16.7,228,265,397,219
16.7,227,264,396,218
16.7,226,263,395,218
16.7,225,263,395,218
16.6,225,262,394,217
16.6,223,262,392,217
16.6,221,262,390,216
16.6,220,263,389,215
16.6,220,263,389,215
16.6,221,263,390,214
16.6,223,264,392,214
16.6,224,264,394,215
16.6,226,264,396,215
16.6,227,264,397,215
16.6,228,265,398,215
16.6,230,265,400,214
16.6,233,265,402,212
16.6,238,267,407,211
16.6,244,268,412,210
16.6,249,269,416,209
16.6,252,269,418,208
16.7,254,269,420,207
16.7,256,270,421,206
16.7,257,270,421,205
16.7,258,271,422,205
16.7,259,272,422,205
16.7,260,272,423,203
16.7,260,271,423,203
16.7,261,271,424,204
16.7,261,271,425,204
16.7,262,270,425,204
16.7,262,269,425,203
16.7,262,269,425,203
16.7,262,269,425,203
16.7,262,269,425,203
16.7,262,269,425,203
16.7,262,269,425,203
16.7,262,269,425,202
16.7,262,269,425,202
16.7,263,269,425,202
16.7,263,268,426,203
16.7,264,268,427,202
16.7,264,266,427,203
16.7,262,263,426,203
16.7,260,262,425,203
16.7,257,261,423,205
16.7,254,261,420,206
16.7,251,261,417,206
16.7,249,260,415,206
16.7,247,261,414,207
16.7,247,261,414,209
16.7,247,260,414,209
16.7,245,260,413,209
16.7,245,260,413,209
16.6,245,259,414,209
16.6,246,257,415,209
16.6,246,256,415,208
16.6,246,256,415,209
16.6,244,257,414,209
16.6,244,257,414,209
16.6,245,256,415,209
16.6,245,256,416,209
16.6,245,256,416,209
16.6,246,256,416,209
16.6,246,256,417,208
16.6,247,256,418,206
16.6,248,255,418,204
16.6,249,255,418,203
16.6,250,254,419,201
16.6,250,254,419,199
16.6,250,253,419,201
16.2,248,253,417,202
16.2,246,254,415,202
16.2,246,253,415,200
16.2,248,253,417,197
16.2,253,253,421,195
16.2,260,253,425,190
16.2,266,253,430,186
16.2,271,253,434,183
16.2,273,253,435,181
16.2,274,254,436,181
16.2,276,255,437,181
16.2,279,256,439,181
16.2,282,257,441,181
16.2,283,259,443,182
16.2,282,259,443,184
16.2,283,261,443,186
16.3,282,263,443,189
16.3,280,266,442,192
16.3,279,269,440,195
16.3,276,269,438,198
16.3,272,270,435,201
16.3,268,272,432,204
16.3,263,273,427,208
16.3,257,277,421,212
16.3,253,281,417,216
16.3,252,283,417,218
16.3,253,283,418,219
16.3,254,282,420,220
16.3,255,283,420,221
16.3,256,283,422,222
16.3,257,282,423,222
16.3,258,281,424,223
16.3,258,281,425,223
16.9,258,281,425,223
16.9,257,281,425,223
16.9,257,281,425,223
16.9,258,280,425,223
16.9,258,279,426,223
16.9,258,278,426,221
16.9,259,277,426,219
16.9,259,275,427,218
16.9,259,274,427,217
16.9,258,273,426,215
16.9,259,272,427,213
16.9,259,271,427,211
16.9,259,269,427,209
16.9,258,267,425,208
16.9,256,267,424,207
16.1,256,267,424,207
16.1,257,269,423,205
16.1,259,271,423,201
16.1,262,273,423,198
16.1,264,273,424,195
16.1,266,273,425,193
16.1,268,273,426,191
16.1,271,275,427,189
16.1,276,275,430,187
16.1,280,274,433,184
16.1,283,274,435,181
16.1,284,273,435,180
16.1,285,273,436,179
16.1,287,273,437,179
16.1,288,273,438,179
16.1,290,275,439,179
16.1,292,277,440,180
16.7,293,279,440,180
16.7,293,280,440,181
16.7,294,281,440,181
16.7,294,281,442,182
16.7,295,280,443,182
16.7,296,280,445,183
16.7,297,281,447,185
16.7,299,281,449,186
16.7,300,280,451,187
16.7,302,280,453,188
16.7,303,279,455,187
16.7,304,279,455,187
16.7,304,280,454,187
16.7,303,279,454,187
16.7,304,279,455,187
16.7,306,280,456,187
16.7,308,282,458,187
16.8,309,281,459,187
16.8,311,284,460,187
16.8,313,280,461,187
16.8,313,284,462,187
16.8,313,284,462,189
16.8,313,285,462,189
16.8,312,285,461,189
16.8,312,284,460,189
16.8,312,284,461,189
16.8,311,283,460,189
16.8,311,284,460,189
